Suburb,Rooms,Type,Price,Date,Regionname,Distance,CouncilArea
"Abbotsford",3,"h",1490000,"1/04/2017","Northern Metropolitan",3,"Yarra City Council"
"Abbotsford",3,"h",1220000,"1/04/2017","Northern Metropolitan",3,"Yarra City Council"
"Abbotsford",3,"h",1420000,"1/04/2017","Northern Metropolitan",3,"Yarra City Council"
"Aberfeldie",3,"h",1515000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Airport West",2,"h",670000,"1/04/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Airport West",2,"t",530000,"1/04/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Airport West",2,"u",540000,"1/04/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Airport West",3,"h",715000,"1/04/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Albert Park",3,"h",1925000,"1/04/2017","Southern Metropolitan",3,"Port Phillip City Council"
"Albion",3,"u",515000,"1/04/2017","Western Metropolitan",10.5,"Brimbank City Council"
"Albion",4,"h",717000,"1/04/2017","Western Metropolitan",10.5,"Brimbank City Council"
"Alphington",2,"h",1675000,"1/04/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Alphington",4,"h",2008000,"1/04/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Altona",2,"h",860000,"1/04/2017","Western Metropolitan",11,"Hobsons Bay City Council"
"Altona North",3,"h",720000,"1/04/2017","Western Metropolitan",9.4,"Hobsons Bay City Council"
"Armadale",2,"u",836000,"1/04/2017","Southern Metropolitan",6.3,"Stonnington City Council"
"Armadale",2,"h",2110000,"1/04/2017","Southern Metropolitan",6.3,"Stonnington City Council"
"Armadale",3,"h",1386000,"1/04/2017","Southern Metropolitan",6.3,"Stonnington City Council"
"Armadale",2,"u",580000,"1/04/2017","Southern Metropolitan",6.3,"Stonnington City Council"
"Armadale",1,"u",355000,"1/04/2017","Southern Metropolitan",6.3,"Stonnington City Council"
"Ascot Vale",3,"h",1123100,"1/04/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ashburton",3,"u",1270000,"1/04/2017","Southern Metropolitan",10.2,"Boroondara City Council"
"Ashburton",3,"t",1610000,"1/04/2017","Southern Metropolitan",10.2,"Boroondara City Council"
"Ashwood",4,"h",1435000,"1/04/2017","Southern Metropolitan",10.2,"Monash City Council"
"Aspendale",4,"h",1431000,"1/04/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Aspendale Gardens",4,"h",996000,"1/04/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Avondale Heights",4,"h",825000,"1/04/2017","Western Metropolitan",9.5,"Moonee Valley City Council"
"Balwyn",2,"u",660800,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
